Movie Title,Runtime,Genre,Award Wins,Award Nominations,Box Office,Director,Plot,DVD
Parasite,132,"Drama, Thriller",306,264,"$53,369,749",Bong Joon Ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,11 Oct 2019
Green Book,130,"Biography, Comedy, Drama",58,123,"$85,080,171",Peter Farrelly,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,19 Feb 2019
The Shape of Water,123,"Drama, Fantasy, Romance",136,350,"$63,859,435",Guillermo del Toro,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",23 Feb 2018
Moonlight,111,Drama,231,300,"$27,854,932",Barry Jenkins,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",21 Feb 2017
Spotlight,129,"Biography, Crime, Drama",124,144,"$45,055,776",Tom McCarthy,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",02 Feb 2016
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",192,293,"$42,340,598",Alejandro G. Iñárritu,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",01 Aug 2016
12 Years a Slave,134,"Biography, Drama, History",242,337,"$56,671,993",Steve McQueen,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",31 Aug 2015
Argo,120,"Biography, Drama, Thriller",95,156,"$136,025,503",Ben Affleck,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",03 Dec 2013
The Artist,100,"Comedy, Drama, Romance",162,204,"$44,671,682",Michel Hazanavicius,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,04 Feb 2014
The King's Speech,118,"Biography, Drama, History",108,206,"$138,797,449",Tom Hooper,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",01 Apr 2017
Everything Everywhere All at Once,139,"Action, Adventure, Comedy",387,358,"$77,191,785","Daniel Kwan, Daniel Scheinert",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,07 Jun 2022
The Silence of the Lambs,118,"Crime, Drama, Thriller",70,50,"$130,742,922",Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",27 Aug 2015
Dances with Wolves,181,"Adventure, Drama, Western",54,38,"$184,208,848",Kevin Costner,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",29 Nov 2016
Driving Miss Daisy,99,"Comedy, Drama, Romance",22,24,"$106,593,296",Bruce Beresford,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,03 Oct 2008
Chicago,113,"Comedy, Crime, Musical",58,129,"$170,687,518",Rob Marshall,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",21 Apr 2016
